2024-08-04 | divulgação da atividade parlamentar. | 1000.0 | adolfo viana | psdb | ba
2024-08-04 | combustíveis e lubrificantes. | 474.52 | abilio brunini | pl | mt
2024-08-04 | combustíveis e lubrificantes. | 1597.47 | adail filho | republicanos | am
2024-08-04 | combustíveis e lubrificantes. | 1958.09 | adilson barroso | pl | sp
2024-08-04 | manutenção de escritório de apoio à atividade parlamentar | 250.0 | adilson barroso | pl | sp
2024-08-05 | combustíveis e lubrificantes. | 1993.1200000000001 | alberto fraga | pl | df
2024-08-05 | divulgação da atividade parlamentar. | 23000.0 | alberto fraga | pl | df
2024-08-05 | passagem aérea - sigepa | 1990.05 | alberto fraga | pl | df
2024-08-05 | telefonia | 402.52 | alberto fraga | pl | df
2024-08-05 | combustíveis e lubrificantes. | 3167.95 | aécio neves | psdb | mg
2024-08-05 | divulgação da atividade parlamentar. | 6024.0 | aécio neves | psdb | mg
2024-08-05 | locação ou fretamento de aeronaves | 32398.8 | aécio neves | psdb | mg
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 571.01 | aécio neves | psdb | mg
2024-08-05 | passagem aérea - sigepa | 7144.139999999999 | aécio neves | psdb | mg
2024-08-05 | combustíveis e lubrificantes. | 2295.25 | alberto mourão | mdb | sp
2024-08-05 | hospedagem ,exceto do parlamentar no distrito federal. | 450.0 | alberto mourão | mdb | sp
2024-08-05 | locação ou fretamento de veículos automotores | 12500.0 | alberto mourão | mdb | sp
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 4088.55 | alberto mourão | mdb | sp
2024-08-05 | passagem aérea - sigepa | 802.3899999999999 | alberto mourão | mdb | sp
2024-08-05 | combustíveis e lubrificantes. | 3470.01 | adriano do baldy | pp | go
2024-08-05 | divulgação da atividade parlamentar. | 2000.0 | adriano do baldy | pp | go
2024-08-05 | hospedagem ,exceto do parlamentar no distrito federal. | 500.0 | adriano do baldy | pp | go
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 10391.68 | adriano do baldy | pp | go
2024-08-05 | passagem aérea - sigepa | 4904.61 | adriano do baldy | pp | go
2024-08-05 | combustíveis e lubrificantes. | 3099.59 | afonso hamm | pp | rs
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 2883.96 | afonso hamm | pp | rs
2024-08-05 | passagem aérea - sigepa | -2920.4300000000003 | afonso hamm | pp | rs
2024-08-05 | telefonia | 680.55 | afonso hamm | pp | rs
2024-08-05 | combustíveis e lubrificantes. | 2803.68 | aguinaldo ribeiro | pp | pb
2024-08-05 | divulgação da atividade parlamentar. | 12714.7 | aguinaldo ribeiro | pp | pb
2024-08-05 | hospedagem ,exceto do parlamentar no distrito federal. | 611.0 | aguinaldo ribeiro | pp | pb
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 233.96 | aguinaldo ribeiro | pp | pb
2024-08-05 | passagem aérea - sigepa | -2654.87 | aguinaldo ribeiro | pp | pb
2024-08-05 | combustíveis e lubrificantes. | 5158.14 | afonso motta | pdt | rs
2024-08-05 | manutenção de escritório de apoio à atividade parlamentar | 1473.96 | afonso motta | pdt | rs
2024-08-05 | passagem aérea - sigepa | -1937.6800000000003 | afonso motta | pdt | rs
